,Customer ID,Name,Surname,Gender,Birthdate,Transaction Amount,Date,Merchant Name,Category
3245,875209,Shelly,Gordon,,2004-10-19,918.64,2023-09-05,Downs-Carroll,Electronics
3246,260141,Marie,Pitts,F,1964-10-29,268.83,2023-02-16,Anderson-Hill,Market
3247,946956,Brenda,Jones,F,1949-11-02,247.32,2023-04-14,"Griffin, Nelson and Poole",Electronics
3248,590620,Nathan,Brady,F,2002-10-20,61.06,2023-05-14,Murray-Meyer,Cosmetic
3249,805498,Stephen,Anderson,F,1967-10-29,88.22,2023-04-07,Henderson and Sons,Restaurant
3252,407072,Ashley,Parker,F,1953-11-01,957.88,2023-05-09,Gilbert and Sons,Electronics
3259,906866,Tracie,Luna,F,2005-10-19,249.31,2023-04-30,Goodman LLC,Clothing
3260,692072,Michelle,Price,F,1986-10-24,20.79,2023-08-03,Wheeler and Sons,Cosmetic
3268,531828,Kyle,Wilson,F,2005-10-19,150.9,2023-06-30,Campbell and Sons,Market
3269,517391,Adam,Riley,,1971-10-28,2309.53,2023-08-30,Snyder Group,Travel
3270,953578,Benjamin,Nelson,F,1971-10-28,214.53,2023-01-02,Scott PLC,Market
3271,680158,Patty,Hodges,,1964-10-29,135.7,2023-03-12,Duran Group,Cosmetic
3274,718723,Kathleen,Harris,F,1983-10-25,938.83,2023-06-08,"Moody, Wilson and Kemp",Travel
3275,173928,Erica,Vincent,F,1985-10-24,175.26,2023-09-01,Gray-Jackson,Travel
3277,774040,Kathleen,Gaines,F,1979-10-26,66.58,2023-02-04,Dawson-Roberts,Restaurant
3279,806698,Mark,Bass,F,1959-10-31,645.88,2023-03-04,Taylor Inc,Electronics
3281,233130,Corey,Perkins,F,1999-10-21,94.32,2023-04-12,"Williams, Short and Jackson",Restaurant
3284,565348,Matthew,Villarreal,F,1994-10-22,414.55,2023-07-10,Craig PLC,Market
3285,565752,Robert,Salas,F,1975-10-27,447.14,2023-03-25,Hernandez Ltd,Electronics
3287,313974,Jimmy,Miller,F,1979-10-26,627.78,2023-02-17,"Lin, Garza and Sosa",Electronics
3288,346428,Mitchell,Allen,,1969-10-28,19.83,2023-04-17,"Gray, Potts and Richardson",Cosmetic
3289,941425,Gary,Smith,F,1991-10-23,2988.68,2023-04-03,Garza PLC,Travel
3291,368075,Justin,Meadows,F,1982-10-25,243.01,2023-01-14,"Jennings, Garcia and West",Electronics
3292,676437,Robin,Williams,F,1981-10-25,118.9,2023-09-29,Reed Ltd,Cosmetic
3294,879686,Suzanne,Marshall,F,1968-10-28,1328.93,2023-09-12,Jackson LLC,Travel
3297,271902,John,Cortez,F,1954-11-01,31.91,2023-08-29,Caldwell Group,Restaurant
3298,254136,Jacob,Anderson,F,1986-10-24,254.94,2023-03-09,Watkins Inc,Clothing
3299,564572,Samantha,Gonzalez,F,1989-10-23,15.83,2023-06-02,"Jones, Newton and Gutierrez",Restaurant
3300,379747,David,Phillips,F,1960-10-30,567.83,2023-06-01,Rodriguez-Warren,Electronics
3301,946302,Erica,Clarke,F,1961-10-30,93.18,2023-06-05,Ortiz-White,Restaurant
3302,440668,Tamara,Herman,F,1952-11-01,368.95,2023-01-10,Chavez-Cunningham,Market
3304,495030,Jason,Washington,F,1948-11-02,152.67,2023-08-02,"Warner, Wells and Black",Clothing
3305,192255,Mark,May,F,1971-10-28,43.99,2023-09-22,Hicks-Williams,Restaurant
3307,240597,Amber,Lloyd,F,1993-10-22,666.27,2023-10-10,Juarez and Sons,Electronics
3308,78402,Robert,Fisher,F,1999-10-21,2974.62,2023-08-29,Johnson-Anderson,Travel
3309,201689,Molly,Brandt,F,1949-11-02,37.33,2023-07-31,"Walls, Lee and Wolfe",Restaurant
3310,719096,Nicole,Bates,F,1988-10-23,808.51,2023-09-12,Mcgee-Daniel,Travel
3311,222978,Samantha,Davis,F,1955-11-01,167.03,2023-08-09,"Hensley, Brewer and Bennett",Cosmetic
3312,460553,Richard,Rivas,F,1996-10-21,2248.82,2023-06-10,"Nguyen, Peterson and Rollins",Travel
3313,576779,Kelly,Wright,F,1977-10-26,642.71,2023-08-23,"Rocha, Carr and Smith",Electronics
3314,522829,Caleb,Smith,F,1956-10-31,54.66,2023-08-03,"Dickson, Mitchell and Williams",Restaurant
3315,114111,Amanda,Bailey,F,1952-11-01,197.22,2023-05-31,"Ingram, Evans and Brown",Clothing
3317,125511,Matthew,Stephens,F,1982-10-25,1226.36,2023-07-20,"Johnson, Olson and Young",Travel
3318,827448,Anna,Brown,,1982-10-25,1077.37,2023-06-07,Henson-Mitchell,Travel
3320,906154,Debra,Smith,,1978-10-26,2537.62,2023-01-04,"Cox, Thompson and Hutchinson",Travel
3321,423712,Edward,Chavez,F,1976-10-26,38.0,2023-09-02,Wood-Church,Market
3323,990387,Shannon,Moore,,1990-10-23,225.27,2023-08-18,Thompson Group,Market
3325,821757,Michael,Whitney,F,1980-10-25,79.28,2023-09-25,"Carpenter, Ross and Cabrera",Restaurant
3326,29277,Samantha,Bates,F,1970-10-28,466.12,2023-09-10,Rose-Moss,Market
3327,734163,Peter,Mcgrath,F,1995-10-22,647.11,2023-09-26,Gilbert-Cervantes,Electronics
3328,402343,Kayla,Schneider,F,1950-11-02,1020.74,2023-06-15,Tran Inc,Travel
3330,150658,Marco,Brooks,,1961-10-30,790.66,2023-06-14,Curtis-Fischer,Electronics
3331,820526,Carmen,Oconnor,F,1993-10-22,2959.44,2023-09-11,Bradley Group,Travel
3332,616291,Mark,Powell,F,1987-10-24,87.72,2023-10-13,Chaney LLC,Electronics
3334,957952,Valerie,Benjamin,F,1999-10-21,63.76,2023-04-15,Smith PLC,Market
3335,674486,Randy,Jennings,F,1985-10-24,41.96,2023-06-05,"Stewart, Harper and Blankenship",Restaurant
3337,760742,Joseph,Herrera,,1971-10-28,189.87,2023-09-05,"Fernandez, Ingram and Haney",Clothing
3338,276842,Vincent,Gomez,F,1971-10-28,10.97,2023-09-26,Trujillo Group,Restaurant
3339,924546,Ashley,Greene,F,2000-10-20,212.77,2023-07-31,Lee-Shah,Clothing
3340,117303,Mary,Powell,F,2000-10-20,105.82,2023-01-26,"Curtis, Colon and Allen",Clothing
3342,291818,Sarah,Walls,,1981-10-25,339.16,2023-10-13,"Waters, West and King",Market
3345,965635,Denise,Klein,F,1961-10-30,72.41,2023-09-23,"Holmes, Ramos and Cortez",Electronics
3346,282738,Dalton,Paul,,2005-10-19,93.33,2023-09-12,Clements PLC,Restaurant
3347,989248,Abigail,Hawkins,F,1974-10-27,17.71,2023-04-03,"Turner, Day and Hughes",Restaurant
3350,849871,Joe,Newman,F,1983-10-25,90.82,2023-03-09,"Little, Valencia and Torres",Restaurant
3351,318240,Stephanie,Gonzalez,F,1960-10-30,1379.83,2023-03-23,"Moore, Glover and Davis",Travel
3352,102866,John,White,F,1987-10-24,2143.02,2023-09-14,"Smith, Peterson and Tyler",Travel
3357,350812,Dawn,Boyd,F,1991-10-23,1226.39,2023-07-22,Nguyen-Morgan,Travel
3358,723879,Hector,Lucas,F,1951-11-02,615.69,2023-06-24,Grant Group,Electronics
3360,861041,Maria,Garcia,F,1986-10-24,1119.8,2023-10-13,Johnson PLC,Travel
3362,177663,Kathleen,Williamson,F,1976-10-26,127.93,2023-01-24,"Travis, Obrien and Villegas",Travel
3363,26286,Ryan,Brennan,F,1997-10-21,289.0,2023-01-04,Andrade-Johnson,Travel
3367,713534,Sabrina,Skinner,F,1987-10-24,58.17,2023-02-09,"Murphy, Randall and Higgins",Restaurant
3368,217234,Jeremy,Ferguson,,1967-10-29,82.83,2023-03-17,Taylor-Stephens,Clothing
3369,793543,Jamie,Cook,,1975-10-27,174.18,2023-02-15,Gregory Inc,Clothing
3370,520585,Edward,Bond,F,1952-11-01,2455.4,2023-01-02,Crawford-Lewis,Travel
3372,75814,Andre,Mayo,F,1960-10-30,73.2,2023-05-15,"Kelly, Stewart and Wagner",Restaurant
3373,907549,Stephanie,Gardner,F,1995-10-22,107.7,2023-09-22,"Tyler, Velez and Mckinney",Cosmetic
3374,784612,Kathleen,Hall,F,1982-10-25,130.73,2023-08-20,Garcia-Ramsey,Market
3378,492147,Brenda,Jones,F,1970-10-28,321.11,2023-05-01,"Simmons, Carter and Anderson",Market
3379,721866,Matthew,Lee,F,1974-10-27,165.04,2023-09-12,Reed Group,Clothing
3380,692927,Felicia,Vaughn,,1981-10-25,297.14,2023-09-22,"Weiss, Pope and Smith",Electronics
3381,861909,Erika,Hill,F,1999-10-21,2744.92,2023-04-12,Sanchez-Brown,Travel
3383,772189,Justin,Branch,F,1955-11-01,238.8,2023-08-31,White-Schaefer,Clothing
3388,277220,Jason,Spencer,F,1984-10-24,26.33,2023-06-01,"Murphy, Wilson and Hart",Clothing
3389,445209,Angela,Chandler,F,1995-10-22,71.96,2023-05-07,Vazquez-Warner,Clothing
3390,623019,Susan,Daniel,F,1983-10-25,44.49,2023-04-20,Campbell and Sons,Cosmetic
3391,661116,Victor,Yoder,F,1982-10-25,27.62,2023-07-01,Dixon-Preston,Clothing
3392,53290,Troy,Johnson,,1967-10-29,641.57,2023-10-05,Ortiz Ltd,Electronics
3393,511956,Mary,Cochran,F,1954-11-01,828.25,2023-02-22,Ward LLC,Travel
3394,165800,Melissa,Browning,F,1974-10-27,353.45,2023-07-08,Garza PLC,Market
3395,585774,Jose,Reed,F,1983-10-25,82.18,2023-09-20,Aguilar-Martin,Restaurant
3396,362871,Stacy,Moran,F,1999-10-21,64.79,2023-02-05,Holden-Russell,Clothing
3398,541898,David,Reyes,F,1970-10-28,452.53,2023-01-05,Moran Group,Travel
3401,357962,Melinda,Smith,F,2001-10-20,2391.59,2023-05-07,Francis Ltd,Travel
3402,113758,Troy,Conner,F,1986-10-24,50.54,2023-07-15,Johnson-Roberts,Clothing
3403,246542,Thomas,Oliver,F,1958-10-31,11.2,2023-05-21,Brooks-Myers,Cosmetic
3405,891848,Audrey,Anderson,,1967-10-29,284.59,2023-06-11,"Johnson, Bryant and Howe",Clothing
3407,741505,Phillip,Williamson,F,1977-10-26,1967.46,2023-09-03,Wright-Carey,Travel
3408,550578,Derrick,Green,F,1959-10-31,125.21,2023-06-11,Williams-Cordova,Cosmetic
3410,657302,Joel,Gomez,,1965-10-29,48.82,2023-09-21,Fowler and Sons,Clothing
3412,913027,Ricardo,Smith,F,1984-10-24,117.22,2023-06-04,"Jones, Butler and Alexander",Clothing
3413,207818,Nicole,Hernandez,F,1976-10-26,29.51,2023-03-13,Reed-Finley,Cosmetic
3414,544109,Jason,Davis,F,1975-10-27,533.39,2023-08-19,Lawson-Davis,Travel
3415,143682,Angela,Harrison,,1972-10-27,174.56,2023-02-05,Williams-Scott,Market
3416,163225,Carolyn,Wong,F,1955-11-01,1366.75,2023-07-14,"Camacho, Mason and Pierce",Travel
3418,970156,Teresa,Gonzales,F,1991-10-23,160.12,2023-07-25,"Nguyen, Martin and Moore",Cosmetic
3419,424996,Audrey,Walters,F,1985-10-24,42.8,2023-03-19,"Singleton, Glenn and Hunt",Clothing
3420,281724,Robert,Cross,,2003-10-20,809.58,2023-10-02,"Duncan, Shaffer and Stevens",Electronics
3421,264693,Alyssa,Watson,F,1962-10-30,68.15,2023-09-16,Cook and Sons,Market
3424,731096,Nancy,Rodriguez,F,1982-10-25,172.13,2023-08-30,"Zavala, Clark and Arnold",Clothing
3427,13779,Charles,Perez,,1975-10-27,273.27,2023-03-01,White-Montgomery,Market
3429,572197,Diane,Dunn,F,1968-10-28,1069.4,2023-03-16,"Gibbs, Shepherd and Ross",Travel
3430,502422,Scott,Morris,F,1960-10-30,116.02,2023-04-08,Smith Ltd,Cosmetic
3431,474386,Adam,Cobb,F,1970-10-28,21.16,2023-01-21,King-Newton,Clothing
3433,703482,Melvin,Davidson,F,1982-10-25,804.63,2023-02-22,Lowe LLC,Electronics
3434,905955,Natalie,Leach,F,1953-11-01,485.97,2023-04-04,Carlson and Sons,Market
3435,79552,Helen,Powers,,1967-10-29,27.07,2023-01-02,Gonzales Group,Market
3437,179983,Christopher,Frazier,,1966-10-29,77.43,2023-04-09,Robinson Ltd,Restaurant
3439,104877,James,Bell,F,1981-10-25,177.69,2023-08-21,White PLC,Cosmetic
3441,592908,Megan,Hanson,F,1971-10-28,46.35,2023-05-06,Nolan Group,Restaurant
3442,480962,Christine,Barker,F,1981-10-25,190.3,2023-01-26,"Copeland, Farrell and Good",Clothing
3443,894564,Glenda,Lopez,F,1994-10-22,2580.77,2023-05-04,Sanders and Sons,Travel
3444,877290,Donna,Solis,,1966-10-29,95.94,2023-04-12,Kent-Dickson,Restaurant
3445,909805,Shelley,Moore,F,2001-10-20,2408.64,2023-10-09,Green Group,Travel
3446,383962,Brandon,Clark,F,1985-10-24,77.42,2023-07-25,Reed-Smith,Cosmetic
3447,494135,Anna,Sheppard,F,1975-10-27,262.69,2023-10-04,Fox Inc,Clothing
3448,643784,Jamie,Murphy,F,1985-10-24,555.53,2023-09-21,"Solomon, Hancock and Compton",Electronics
3449,27155,Tricia,Hardin,F,1960-10-30,9.23,2023-09-24,Ramirez-Clay,Market
3450,703839,Courtney,Leach,F,1981-10-25,75.99,2023-02-22,Smith Group,Restaurant
3452,326396,Christopher,Hernandez,F,1966-10-29,782.29,2023-03-09,Ramirez LLC,Electronics
3454,628459,Cody,Mcmahon,F,1983-10-25,149.21,2023-07-28,"Watson, Roberts and Carter",Clothing
3455,794346,Lori,Gross,F,1977-10-26,488.21,2023-02-24,Simon LLC,Travel
3456,174856,Shelley,Stuart,F,1994-10-22,2118.41,2023-01-09,"Smith, Allen and Reid",Travel
3459,628501,Donald,Clements,,1988-10-23,950.82,2023-05-22,Cummings-Adams,Electronics
3460,355564,Arthur,Harris,F,1976-10-26,1286.22,2023-08-25,"Baker, Gray and Brown",Travel
3462,876923,Gloria,Singh,,1948-11-02,357.99,2023-01-12,"Garza, Howe and Rodriguez",Electronics
3465,699430,Jacob,Butler,F,1955-11-01,388.69,2023-06-30,Hill LLC,Market
3468,860162,Jennifer,Green,,1959-10-31,75.96,2023-06-21,Holland-Ruiz,Restaurant
3470,183627,Jared,Bruce,F,1952-11-01,50.23,2023-07-07,Quinn and Sons,Cosmetic
3471,967532,Lauren,Hill,F,1972-10-27,179.11,2023-03-18,Harris-Wallace,Cosmetic
3473,676179,Danielle,Jones,F,2004-10-19,97.08,2023-01-06,Sanders PLC,Electronics
3474,416706,Michelle,Martin,F,1998-10-21,183.83,2023-09-29,Shaw Ltd,Market
3475,221491,Ronald,Nguyen,F,1987-10-24,40.51,2023-07-05,"Powers, Orozco and Hall",Restaurant
3477,496590,John,Smith,F,2004-10-19,887.4,2023-03-08,"Murray, Rogers and Banks",Electronics
3478,213785,Matthew,Mclean,F,2004-10-19,128.57,2023-05-08,Brown-Mitchell,Market
3479,482862,Destiny,Clark,F,1948-11-02,99.38,2023-05-25,"Knight, Hanson and Dawson",Cosmetic
3483,240262,Susan,Montgomery,F,1948-11-02,28.7,2023-06-14,Gardner Group,Cosmetic
3484,722009,Victoria,Snow,F,1991-10-23,213.57,2023-08-30,"Livingston, Robinson and Roberts",Market
3486,815826,Lori,Key,F,1969-10-28,42.8,2023-09-27,Townsend-Campbell,Restaurant
3487,97593,Larry,Davis,,1988-10-23,43.61,2023-02-12,Wolfe-Franklin,Cosmetic
3488,784535,Bianca,Booth,F,1950-11-02,244.5,2023-01-29,"Palmer, Adams and Valentine",Electronics
3491,489065,Timothy,Padilla,F,1960-10-30,2702.2,2023-07-14,"Miller, Sandoval and Walker",Travel
3493,670391,Jessica,Hernandez,F,1990-10-23,172.78,2023-01-02,"Mcdowell, Vaughn and Sanchez",Market
3494,180707,Scott,Jackson,F,1996-10-21,290.78,2023-07-06,"Davis, Tapia and Flowers",Electronics
3495,606815,Brittany,Cox,,1957-10-31,1606.73,2023-03-19,Thomas and Sons,Travel
3496,834832,Lydia,Marsh,F,1962-10-30,241.09,2023-09-24,"Christian, Bryan and Robinson",Market
3497,480304,Nicole,Diaz,F,1961-10-30,133.92,2023-05-06,Miller Group,Clothing
3500,232472,Nicole,Munoz,F,1963-10-30,210.17,2023-01-23,Davila LLC,Clothing
3501,186468,Caleb,Kirby,F,1995-10-22,460.55,2023-02-03,"Marquez, Fuller and Russell",Electronics
3502,603340,Miguel,Vargas,,1969-10-28,445.53,2023-02-22,"Anderson, Marquez and Hall",Electronics
3503,85044,Sean,Arias,F,1982-10-25,95.3,2023-01-20,Bradford Ltd,Cosmetic
3504,11564,Deborah,Peterson,F,1954-11-01,180.69,2023-09-09,Holmes Ltd,Cosmetic
3509,167792,Rhonda,Lyons,,1954-11-01,160.56,2023-06-10,Mejia PLC,Cosmetic
3512,677971,Amanda,Chavez,F,1951-11-02,294.6,2023-04-10,Johnson-Wong,Clothing
3513,180128,Sergio,Sanchez,F,1983-10-25,145.96,2023-05-12,Evans-Coffey,Cosmetic
3514,244880,Nancy,Warren,F,1972-10-27,62.3,2023-09-08,Martinez-Oconnor,Restaurant
3515,820677,Virginia,Perkins,F,1963-10-30,163.9,2023-01-28,Larson-Hughes,Cosmetic
3517,309860,Travis,Hart,F,2003-10-20,1852.46,2023-08-05,Johnson-Turner,Travel
3519,384711,Brittney,Schultz,F,1960-10-30,130.08,2023-02-25,Hubbard-Murray,Cosmetic
3520,422199,Courtney,Nolan,F,2002-10-20,70.5,2023-05-24,Olson-Rogers,Restaurant
3522,484660,James,Reynolds,F,1965-10-29,1552.32,2023-06-03,Lawson Inc,Travel
3523,64938,Curtis,Vincent,F,1955-11-01,178.94,2023-06-13,Booth PLC,Clothing
3526,815414,Leslie,Kelly,F,1983-10-25,265.49,2023-09-29,Miles and Sons,Clothing
3527,801555,Christian,Mcclure,F,1966-10-29,472.41,2023-03-24,Guerrero-Moran,Travel
3528,650918,Alexander,Curry,F,1961-10-30,375.72,2023-04-01,Griffin PLC,Electronics
3529,890696,Joseph,Flynn,F,1987-10-24,20.71,2023-02-23,"Love, Cook and Baker",Restaurant
3530,521789,Juan,Harris,F,1992-10-22,2618.27,2023-08-06,"Olsen, Wilson and Wilson",Travel
3533,602615,Benjamin,Bennett,,1952-11-01,2193.37,2023-02-22,Abbott Group,Travel
3535,418259,Clarence,Young,F,1966-10-29,273.15,2023-05-20,Gutierrez-Flynn,Clothing
3537,619882,James,Thornton,F,2005-10-19,283.17,2023-06-04,Ho-Fisher,Clothing
3539,176292,Benjamin,Thompson,F,1977-10-26,26.03,2023-02-25,"Hayes, Prince and Gardner",Restaurant
3541,442481,Justin,Stark,F,1968-10-28,259.31,2023-02-28,Brown and Sons,Market
3542,546805,David,Wise,F,1984-10-24,94.42,2023-08-07,"Anderson, Cooper and Horn",Cosmetic
3543,650705,Craig,Campbell,F,1979-10-26,297.33,2023-08-24,Jones-Johnson,Market
3544,32460,Melissa,Gray,F,2002-10-20,410.41,2023-06-28,Monroe PLC,Electronics
3545,174168,Robert,Payne,,2003-10-20,719.19,2023-02-10,"Coleman, Avery and Aguirre",Electronics
3548,909363,Matthew,Willis,F,1953-11-01,79.82,2023-06-27,"James, Martin and Farmer",Electronics
3549,912205,Paul,Hodges,F,1963-10-30,40.89,2023-02-02,Henry-Webb,Clothing
3551,938091,Kim,Stewart,F,1971-10-28,181.95,2023-02-01,"Horn, Simmons and Forbes",Clothing
3552,186077,Courtney,Golden,F,1988-10-23,258.04,2023-03-09,Peterson Ltd,Electronics
3554,953263,Maria,Solomon,,1982-10-25,17.56,2023-09-09,Blanchard Inc,Restaurant
3556,407280,Jennifer,Hensley,F,2001-10-20,241.07,2023-05-25,Hunter-Valdez,Travel
3557,794596,Gregory,Castillo,F,1970-10-28,196.98,2023-02-23,Jones Group,Electronics
3558,677240,Marissa,Hines,F,1993-10-22,78.26,2023-09-11,"West, Sims and Young",Market
3560,679568,Kelsey,Carter,,2003-10-20,91.19,2023-03-21,Young and Sons,Clothing
3561,813565,Jesus,Reed,F,1958-10-31,65.63,2023-08-03,Taylor-Hernandez,Cosmetic
3563,710521,Aaron,Stevens,F,1962-10-30,22.91,2023-01-23,"Tucker, Miller and Wright",Clothing
3564,287994,Karen,Mack,F,1995-10-22,134.88,2023-04-23,Wilson Inc,Cosmetic
3566,430850,Ronald,Maxwell,F,1997-10-21,206.47,2023-05-03,Smith LLC,Market
3568,928163,Benjamin,Marshall,F,1975-10-27,56.73,2023-10-02,Moore-Hall,Cosmetic
3570,364005,Philip,Walker,,1972-10-27,463.21,2023-08-14,Armstrong and Sons,Market
3571,544716,Melissa,Davis,F,1973-10-27,984.91,2023-04-06,Myers PLC,Travel
3576,150903,Lauren,Singleton,F,1980-10-25,772.6,2023-06-09,"Short, Gomez and Duran",Electronics
3577,333611,Kevin,Simpson,F,1961-10-30,105.27,2023-06-03,Wade-Williamson,Electronics
3579,385489,Brittney,Harris,,1982-10-25,147.51,2023-10-01,"Nicholson, Potter and Lopez",Market
3580,661703,Juan,Holmes,F,1971-10-28,325.92,2023-09-03,"Henry, Campbell and Alexander",Market
3582,414179,Sean,Anderson,,1973-10-27,1977.22,2023-04-09,"Washington, Faulkner and Hayes",Travel
3583,242634,Sharon,Patel,F,1981-10-25,945.86,2023-01-01,Wagner-Jones,Electronics
3584,112643,Amber,Harrell,F,1981-10-25,2807.15,2023-05-23,"Carter, Lindsey and Lopez",Travel
3585,482809,Melinda,Meyers,F,1955-11-01,101.04,2023-09-06,"Reed, Bradshaw and Ortega",Market
3586,198660,Joshua,Clark,F,1982-10-25,90.5,2023-01-17,Oconnell-Santiago,Cosmetic
3587,264770,Dylan,Williams,F,1977-10-26,1225.62,2023-06-06,Gordon-Benson,Travel
3589,94355,Matthew,Summers,F,1966-10-29,365.98,2023-02-16,Evans Inc,Market
3590,16400,Donna,Carr,F,1994-10-22,50.12,2023-06-29,"Garrison, Nguyen and Burnett",Restaurant
3591,968643,Mark,Hawkins,,1984-10-24,7.93,2023-03-01,"Baker, Bush and Bailey",Market
3592,196962,Jeremy,Lopez,F,1956-10-31,210.23,2023-07-10,Rivera and Sons,Travel
3593,446606,Diane,Cooper,F,1949-11-02,373.75,2023-10-12,Li PLC,Electronics
3599,384149,Justin,Bridges,F,1959-10-31,117.34,2023-04-24,Smith-Wright,Clothing
3600,957972,Jeffery,Green,,1969-10-28,226.79,2023-04-21,"Wagner, Fowler and Howell",Market
3603,490551,Nathan,Bird,F,1956-10-31,161.88,2023-01-30,Davidson and Sons,Cosmetic
3605,341640,Michael,Mcintosh,F,1969-10-28,186.65,2023-09-23,Franco Inc,Cosmetic
3607,410507,Joseph,Santiago,F,1955-11-01,10.07,2023-01-20,Chavez LLC,Restaurant
3610,262599,Rebecca,Schmidt,F,1965-10-29,53.64,2023-03-01,"Maldonado, Elliott and Foster",Restaurant
3612,731036,Patrick,Garcia,F,1954-11-01,596.62,2023-05-26,"Morris, Barnes and Roberts",Electronics
3613,997122,Jackie,Perry,F,1980-10-25,42.24,2023-01-04,Santiago PLC,Clothing
3614,765382,Christopher,Valencia,F,1961-10-30,299.03,2023-02-16,"Lewis, Diaz and Davis",Clothing
3616,83246,Marissa,Jacobs,F,1995-10-22,199.44,2023-07-16,Mcdonald Ltd,Clothing
3618,733658,Matthew,Johnson,,1974-10-27,43.76,2023-04-30,"Mays, Hanson and Morris",Cosmetic
3619,169951,Michael,Mcintyre,,1949-11-02,54.55,2023-06-29,"Carr, Turner and Jordan",Clothing
3620,189949,Douglas,Sanchez,F,1957-10-31,118.26,2023-03-17,Anderson Group,Market
3622,804759,Amanda,Franklin,F,1995-10-22,360.9,2023-05-05,"Cole, Mitchell and Terrell",Market
3623,127054,Katherine,Meza,F,1986-10-24,30.52,2023-07-15,Jacobs-Robinson,Restaurant
3625,11395,Rachel,Gonzalez,F,1977-10-26,1288.35,2023-06-02,Brown Ltd,Travel
3626,995463,Sarah,Howard,,1976-10-26,87.22,2023-09-11,"Byrd, Manning and Edwards",Restaurant
3627,263581,Christine,Bennett,,2000-10-20,275.71,2023-02-20,Galloway PLC,Electronics
3629,442823,Kevin,Turner,F,1994-10-22,2318.32,2023-03-22,Harris-Castro,Travel
3630,466870,Andrea,Green,F,1960-10-30,899.92,2023-03-06,Jones-Villarreal,Electronics
3631,345279,Rebekah,Murray,F,1986-10-24,25.96,2023-04-26,Black-Smith,Market
3632,240478,Peter,Leblanc,F,1964-10-29,182.95,2023-04-21,"Bradford, Price and Fisher",Electronics
3633,696511,Annette,Cowan,,1982-10-25,441.67,2023-02-07,"Wilson, Ramirez and Robinson",Market
3634,729130,Timothy,Grant,F,1959-10-31,102.78,2023-05-08,Hansen and Sons,Market
3636,8433,Sandra,Graham,F,1990-10-23,160.48,2023-09-15,"Golden, Delgado and Russo",Cosmetic
3637,347802,Kenneth,Sanchez,F,1966-10-29,155.55,2023-08-12,Roach-Gordon,Cosmetic
3638,421501,Destiny,Duran,F,1997-10-21,2533.24,2023-06-15,Hale-Ramos,Travel
3640,773434,Jorge,Parks,F,1982-10-25,76.26,2023-03-29,Thomas Group,Market
3646,957043,Amber,Haley,F,1969-10-28,575.63,2023-09-22,Harris-Morales,Travel
3649,38038,Kristin,Lynch,F,1979-10-26,129.79,2023-06-03,Day Group,Market
3651,396762,Danielle,Roberts,F,1959-10-31,674.01,2023-06-20,Johnson LLC,Electronics
3655,395079,Barbara,Gregory,F,1965-10-29,749.38,2023-10-08,Leonard LLC,Travel
3656,255852,Gary,Smith,F,1985-10-24,80.72,2023-04-21,Washington LLC,Restaurant
3657,479837,Laurie,Martin,F,1954-11-01,197.08,2023-06-05,"Miller, Floyd and Bryant",Cosmetic
3660,256881,Jacob,Waller,F,1994-10-22,1664.39,2023-07-06,Smith PLC,Travel
3666,413954,Michelle,Curtis,F,1964-10-29,130.69,2023-07-21,"Kennedy, Guerrero and Whitaker",Cosmetic
3667,588262,Bethany,Evans,F,1965-10-29,62.24,2023-05-10,Winters Ltd,Restaurant
3671,965116,Terrence,Vaughn,F,1956-10-31,8.61,2023-07-02,Larson-Mccall,Market
3672,152575,Patrick,Martin,F,1976-10-26,121.36,2023-05-10,Levine-Griffith,Cosmetic
3676,490539,Craig,Hernandez,F,1951-11-02,73.44,2023-10-02,Jones Inc,Restaurant
3677,110329,Gary,Harris,F,1990-10-23,165.62,2023-07-03,Oliver-Anderson,Cosmetic
3679,251246,Laura,Reeves,F,1961-10-30,196.41,2023-10-04,Jimenez and Sons,Clothing
3681,304116,Kathleen,Cherry,F,1968-10-28,67.95,2023-08-09,Johnson-Beck,Cosmetic
3682,188608,Kimberly,Jensen,F,1963-10-30,399.88,2023-06-07,Young-Jones,Electronics
3685,733411,Cheryl,Evans,,1983-10-25,468.45,2023-01-11,Walker-Hogan,Travel
3689,323736,Lisa,Harris,F,2003-10-20,56.06,2023-08-19,Schwartz Ltd,Restaurant
3690,254260,Sandra,Baker,F,1999-10-21,195.19,2023-06-23,Alvarez-Hayden,Market
3691,224458,Michelle,Rodriguez,F,1977-10-26,700.63,2023-06-18,"Valentine, Frank and Stone",Travel
3692,157360,Christopher,Foley,,1959-10-31,62.5,2023-02-19,"Kerr, Madden and Garza",Clothing
3693,860112,Elizabeth,Johnson,F,1951-11-02,16.51,2023-10-11,"Campos, Cooper and Wolfe",Cosmetic
3694,828278,Brian,Turner,F,1978-10-26,144.24,2023-06-06,Villanueva-Gallagher,Cosmetic
3695,736968,Jeanette,Cruz,,1959-10-31,807.04,2023-01-31,Hayes Ltd,Electronics
3696,23303,Jason,Ramirez,,1955-11-01,53.0,2023-04-19,Simpson-Davis,Clothing
3697,450859,Thomas,Bailey,F,1963-10-30,84.6,2023-01-14,"Miller, Johnson and Edwards",Restaurant
3698,378321,Hannah,Moore,,1973-10-27,556.34,2023-05-05,Wade Inc,Electronics
3699,475680,Jacob,Hall,,1981-10-25,43.45,2023-07-01,"Brown, Gardner and Mcintyre",Market
